case_id,process_name,process_id,service_name,service_id,activity,timestamp,resource,lifecycle,outcome,application_status,duration_hours,variant
P1-C0009,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Check Submitted Documents,2026-07-03T02:01:48Z,Public Security Department,complete,in_progress,pending,9.85,V1_DirectApproval
P1-C0009,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Review Application,2026-07-08T15:16:48Z,Public Security Department,complete,in_progress,under_review,133.25,V1_DirectApproval
P1-C0009,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Approve Application,2026-07-08T22:21:36Z,Public Security Department,complete,approved,approved,7.08,V1_DirectApproval
P1-C0009,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Notify Applicant,2026-07-08T23:06:36Z,CityStart Platform,complete,in_progress,approved,0.75,V1_DirectApproval
P1-C0010,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Submit Residence Permit Application,2026-07-22T11:24:36Z,Citizen,complete,in_progress,pending,0.41,V1_DirectApproval
P1-C0010,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Validate Identity,2026-07-22T17:36:00Z,Public Security Department,complete,in_progress,pending,6.19,V1_DirectApproval
P1-C0010,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Check Submitted Documents,2026-07-23T01:59:24Z,Public Security Department,complete,in_progress,pending,8.39,V1_DirectApproval
P1-C0010,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Review Application,2026-07-25T19:21:00Z,Public Security Department,complete,in_progress,under_review,65.36,V1_DirectApproval
P1-C0010,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Approve Application,2026-07-26T04:10:48Z,Public Security Department,complete,approved,approved,8.83,V1_DirectApproval
P1-C0010,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Notify Applicant,2026-07-26T04:42:36Z,CityStart Platform,complete,in_progress,approved,0.53,V1_DirectApproval
P1-C0011,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Submit Residence Permit Application,2026-07-18T12:42:36Z,Citizen,complete,in_progress,pending,0.71,V1_DirectApproval
P1-C0011,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Validate Identity,2026-07-18T14:28:48Z,Public Security Department,complete,in_progress,pending,1.77,V1_DirectApproval
P1-C0011,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Check Submitted Documents,2026-07-19T00:10:48Z,Public Security Department,complete,in_progress,pending,9.7,V1_DirectApproval
P1-C0011,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Review Application,2026-07-22T08:21:36Z,Public Security Department,complete,in_progress,under_review,80.18,V1_DirectApproval
P1-C0011,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Approve Application,2026-07-22T14:39:36Z,Public Security Department,complete,approved,approved,6.3,V1_DirectApproval
P1-C0011,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Notify Applicant,2026-07-22T14:58:12Z,CityStart Platform,complete,in_progress,approved,0.31,V1_DirectApproval
P1-C0012,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Submit Residence Permit Application,2026-07-19T16:27:00Z,Citizen,complete,in_progress,pending,0.45,V1_DirectApproval
P1-C0012,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Validate Identity,2026-07-19T18:48:00Z,Public Security Department,complete,in_progress,pending,2.35,V1_DirectApproval
P1-C0012,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Check Submitted Documents,2026-07-20T10:06:00Z,Public Security Department,complete,in_progress,pending,15.3,V1_DirectApproval
P1-C0012,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Review Application,2026-07-25T01:27:36Z,Public Security Department,complete,in_progress,under_review,111.36,V1_DirectApproval
P1-C0012,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Approve Application,2026-07-25T05:42:00Z,Public Security Department,complete,approved,approved,4.24,V1_DirectApproval
P1-C0012,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Notify Applicant,2026-07-25T06:09:00Z,CityStart Platform,complete,in_progress,approved,0.45,V1_DirectApproval
P1-C0013,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Submit Residence Permit Application,2026-07-27T17:15:00Z,Citizen,complete,in_progress,pending,0.25,V1_DirectApproval
P1-C0013,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Validate Identity,2026-07-27T21:07:48Z,Public Security Department,complete,in_progress,pending,3.88,V1_DirectApproval
P1-C0013,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Check Submitted Documents,2026-07-28T16:54:00Z,Public Security Department,complete,in_progress,pending,19.77,V1_DirectApproval
P1-C0013,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Review Application,2026-08-03T10:19:48Z,Public Security Department,complete,in_progress,under_review,137.43,V1_DirectApproval
P1-C0013,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Approve Application,2026-08-03T15:52:12Z,Public Security Department,complete,approved,approved,5.54,V1_DirectApproval
P1-C0013,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Notify Applicant,2026-08-03T16:07:12Z,CityStart Platform,complete,in_progress,approved,0.25,V1_DirectApproval
P1-C0014,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Submit Residence Permit Application,2026-07-02T15:25:12Z,Citizen,complete,in_progress,pending,1.42,V1_DirectApproval
P1-C0014,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Validate Identity,2026-07-02T18:51:00Z,Public Security Department,complete,in_progress,pending,3.43,V1_DirectApproval
P1-C0014,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Check Submitted Documents,2026-07-03T06:09:00Z,Public Security Department,complete,in_progress,pending,11.3,V1_DirectApproval
P1-C0014,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Review Application,2026-07-06T01:39:36Z,Public Security Department,complete,in_progress,under_review,67.51,V1_DirectApproval
P1-C0014,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Approve Application,2026-07-06T07:12:36Z,Public Security Department,complete,approved,approved,5.55,V1_DirectApproval
P1-C0014,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Notify Applicant,2026-07-06T07:36:36Z,CityStart Platform,complete,in_progress,approved,0.4,V1_DirectApproval
P1-C0015,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Submit Residence Permit Application,2026-07-15T11:24:36Z,Citizen,complete,in_progress,pending,0.41,V1_DirectApproval
P1-C0015,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Validate Identity,2026-07-15T15:44:24Z,Public Security Department,complete,in_progress,pending,4.33,V1_DirectApproval
P1-C0015,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Check Submitted Documents,2026-07-16T00:12:36Z,Public Security Department,complete,in_progress,pending,8.47,V1_DirectApproval
P1-C0015,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Review Application,2026-07-20T06:13:48Z,Public Security Department,complete,in_progress,under_review,102.02,V1_DirectApproval
P1-C0015,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Approve Application,2026-07-20T11:49:12Z,Public Security Department,complete,approved,approved,5.59,V1_DirectApproval
P1-C0015,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Notify Applicant,2026-07-20T12:18:36Z,CityStart Platform,complete,in_progress,approved,0.49,V1_DirectApproval
P1-C0016,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Submit Residence Permit Application,2026-07-09T15:15:00Z,Citizen,complete,in_progress,pending,1.25,V1_DirectApproval
P1-C0016,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Validate Identity,2026-07-09T21:21:36Z,Public Security Department,complete,in_progress,pending,6.11,V1_DirectApproval
P1-C0016,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Check Submitted Documents,2026-07-10T05:25:48Z,Public Security Department,complete,in_progress,pending,8.07,V1_DirectApproval
P1-C0016,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Review Application,2026-07-14T13:45:36Z,Public Security Department,complete,in_progress,under_review,104.33,V1_DirectApproval
P1-C0016,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Approve Application,2026-07-14T23:15:36Z,Public Security Department,complete,approved,approved,9.5,V1_DirectApproval
P1-C0016,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Notify Applicant,2026-07-14T23:45:00Z,CityStart Platform,complete,in_progress,approved,0.49,V1_DirectApproval
P1-C0017,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Submit Residence Permit Application,2026-07-09T13:34:48Z,Citizen,complete,in_progress,pending,0.58,V1_DirectApproval
P1-C0017,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Validate Identity,2026-07-09T18:14:24Z,Public Security Department,complete,in_progress,pending,4.66,V1_DirectApproval
P1-C0017,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Check Submitted Documents,2026-07-10T11:44:24Z,Public Security Department,complete,in_progress,pending,17.5,V1_DirectApproval
P1-C0017,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Review Application,2026-07-14T15:54:00Z,Public Security Department,complete,in_progress,under_review,100.16,V1_DirectApproval
P1-C0017,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Approve Application,2026-07-14T23:15:36Z,Public Security Department,complete,approved,approved,7.36,V1_DirectApproval
P1-C0017,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Notify Applicant,2026-07-14T23:58:12Z,CityStart Platform,complete,in_progress,approved,0.71,V1_DirectApproval
P1-C0018,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Submit Residence Permit Application,2026-07-26T12:59:24Z,Citizen,complete,in_progress,pending,0.99,V1_DirectApproval
P1-C0018,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Validate Identity,2026-07-26T15:41:24Z,Public Security Department,complete,in_progress,pending,2.7,V1_DirectApproval
P1-C0018,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Check Submitted Documents,2026-07-26T21:22:12Z,Public Security Department,complete,in_progress,pending,5.68,V1_DirectApproval
P1-C0018,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Review Application,2026-07-31T18:07:12Z,Public Security Department,complete,in_progress,under_review,116.75,V1_DirectApproval
P1-C0018,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Approve Application,2026-08-01T01:23:24Z,Public Security Department,complete,approved,approved,7.27,V1_DirectApproval
P1-C0018,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Notify Applicant,2026-08-01T01:54:36Z,CityStart Platform,complete,in_progress,approved,0.52,V1_DirectApproval
P1-C0019,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Submit Residence Permit Application,2026-07-16T13:43:48Z,Citizen,complete,in_progress,pending,0.73,V1_DirectApproval
P1-C0019,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Validate Identity,2026-07-16T15:25:12Z,Public Security Department,complete,in_progress,pending,1.69,V1_DirectApproval
P1-C0019,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Check Submitted Documents,2026-07-16T22:17:24Z,Public Security Department,complete,in_progress,pending,6.87,V1_DirectApproval
P1-C0019,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Review Application,2026-07-20T05:28:48Z,Public Security Department,complete,in_progress,under_review,79.19,V1_DirectApproval
P1-C0019,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Approve Application,2026-07-20T12:01:12Z,Public Security Department,complete,approved,approved,6.54,V1_DirectApproval
P1-C0019,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Notify Applicant,2026-07-20T12:48:36Z,CityStart Platform,complete,in_progress,approved,0.79,V1_DirectApproval
P1-C0020,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Submit Residence Permit Application,2026-07-31T18:16:48Z,Citizen,complete,in_progress,pending,1.28,V1_DirectApproval
P1-C0020,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Validate Identity,2026-07-31T20:06:00Z,Public Security Department,complete,in_progress,pending,1.82,V1_DirectApproval
P1-C0020,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Check Submitted Documents,2026-08-01T09:56:24Z,Public Security Department,complete,in_progress,pending,13.84,V1_DirectApproval
P1-C0020,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Review Application,2026-08-04T02:16:12Z,Public Security Department,complete,in_progress,under_review,64.33,V1_DirectApproval
P1-C0020,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Approve Application,2026-08-04T07:10:12Z,Public Security Department,complete,approved,approved,4.9,V1_DirectApproval
P1-C0020,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Notify Applicant,2026-08-04T07:46:12Z,CityStart Platform,complete,in_progress,approved,0.6,V1_DirectApproval
P1-C0021,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Submit Residence Permit Application,2026-07-21T10:21:00Z,Citizen,complete,in_progress,pending,0.35,V1_DirectApproval
P1-C0021,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Validate Identity,2026-07-21T11:50:24Z,Public Security Department,complete,in_progress,pending,1.49,V1_DirectApproval
P1-C0021,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Check Submitted Documents,2026-07-21T20:02:24Z,Public Security Department,complete,in_progress,pending,8.2,V1_DirectApproval
P1-C0021,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Review Application,2026-07-28T01:09:00Z,Public Security Department,complete,in_progress,under_review,149.11,V1_DirectApproval
P1-C0021,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Approve Application,2026-07-28T09:55:48Z,Public Security Department,complete,approved,approved,8.78,V1_DirectApproval
P1-C0021,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Notify Applicant,2026-07-28T10:22:48Z,CityStart Platform,complete,in_progress,approved,0.45,V1_DirectApproval
P1-C0022,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Submit Residence Permit Application,2026-07-04T13:24:00Z,Citizen,complete,in_progress,pending,0.4,V1_DirectApproval
P1-C0022,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Validate Identity,2026-07-04T17:47:24Z,Public Security Department,complete,in_progress,pending,4.39,V1_DirectApproval
P1-C0022,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Check Submitted Documents,2026-07-05T07:35:24Z,Public Security Department,complete,in_progress,pending,13.8,V1_DirectApproval
P1-C0022,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Review Application,2026-07-08T22:04:12Z,Public Security Department,complete,in_progress,under_review,86.48,V1_DirectApproval
P1-C0022,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Approve Application,2026-07-09T05:12:00Z,Public Security Department,complete,approved,approved,7.13,V1_DirectApproval
P1-C0022,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Notify Applicant,2026-07-09T05:52:48Z,CityStart Platform,complete,in_progress,approved,0.68,V1_DirectApproval
P1-C0023,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Submit Residence Permit Application,2026-07-14T15:31:48Z,Citizen,complete,in_progress,pending,0.53,V1_DirectApproval
P1-C0023,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Validate Identity,2026-07-14T16:39:00Z,Public Security Department,complete,in_progress,pending,1.12,V1_DirectApproval
P1-C0023,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Check Submitted Documents,2026-07-15T10:16:12Z,Public Security Department,complete,in_progress,pending,17.62,V1_DirectApproval
P1-C0023,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Review Application,2026-07-17T16:23:24Z,Public Security Department,complete,in_progress,under_review,54.12,V1_DirectApproval
P1-C0023,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Approve Application,2026-07-17T22:43:12Z,Public Security Department,complete,approved,approved,6.33,V1_DirectApproval
P1-C0023,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Notify Applicant,2026-07-17T23:08:24Z,CityStart Platform,complete,in_progress,approved,0.42,V1_DirectApproval
P1-C0024,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Submit Residence Permit Application,2026-07-14T16:04:12Z,Citizen,complete,in_progress,pending,1.07,V1_DirectApproval
P1-C0024,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Validate Identity,2026-07-14T18:25:12Z,Public Security Department,complete,in_progress,pending,2.35,V1_DirectApproval
P1-C0024,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Check Submitted Documents,2026-07-15T08:34:12Z,Public Security Department,complete,in_progress,pending,14.15,V1_DirectApproval
P1-C0024,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Review Application,2026-07-18T22:16:12Z,Public Security Department,complete,in_progress,under_review,85.7,V1_DirectApproval
P1-C0024,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Approve Application,2026-07-19T03:54:00Z,Public Security Department,complete,approved,approved,5.63,V1_DirectApproval
P1-C0024,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Notify Applicant,2026-07-19T04:15:00Z,CityStart Platform,complete,in_progress,approved,0.35,V1_DirectApproval
P1-C0025,Residence Permit Application and Additional Document Process,P1,Residence Permit Application Service,S2,Submit Residence Permit Application,2026-07-10T14:47:24Z,Citizen,complete,in_progress,pending,0.79,V1_DirectApproval
