case_id,process_name,activity,timestamp,resource,outcome,service_name
P2-004,P2 Housing Rental Subsidy Application and Eligibility Verification,Verify Employment Information,2026-08-01T17:18:00,Employment Information Service,failed,S6 Housing Rental Subsidy Application Service
P2-004,P2 Housing Rental Subsidy Application and Eligibility Verification,Verify Housing Information,2026-08-01T17:33:00,Housing Security Department,verified,S6 Housing Rental Subsidy Application Service
P2-004,P2 Housing Rental Subsidy Application and Eligibility Verification,Combine Verification Results,2026-08-01T17:53:00,CityStart Platform,combined,S6 Housing Rental Subsidy Application Service
P2-004,P2 Housing Rental Subsidy Application and Eligibility Verification,Assess Eligibility,2026-08-01T17:58:00,Housing Security Department,not_eligible,S6 Housing Rental Subsidy Application Service
P2-004,P2 Housing Rental Subsidy Application and Eligibility Verification,Reject Application,2026-08-01T18:08:00,Housing Security Department,rejected_employment_failed,S6 Housing Rental Subsidy Application Service
P2-004,P2 Housing Rental Subsidy Application and Eligibility Verification,Notify Applicant,2026-08-01T18:13:00,CityStart Platform,notified,S6 Housing Rental Subsidy Application Service
P2-005,P2 Housing Rental Subsidy Application and Eligibility Verification,Submit Housing Subsidy Application,2026-08-01T19:00:00,Citizen,submitted,S6 Housing Rental Subsidy Application Service
P2-005,P2 Housing Rental Subsidy Application and Eligibility Verification,Check Submitted Documents,2026-08-01T19:08:00,CityStart Platform,checked,S6 Housing Rental Subsidy Application Service
P2-005,P2 Housing Rental Subsidy Application and Eligibility Verification,Verify Employment Information,2026-08-01T19:18:00,Employment Information Service,verified,S6 Housing Rental Subsidy Application Service
P2-005,P2 Housing Rental Subsidy Application and Eligibility Verification,Verify Housing Information,2026-08-01T19:33:00,Housing Security Department,failed,S6 Housing Rental Subsidy Application Service
P2-005,P2 Housing Rental Subsidy Application and Eligibility Verification,Combine Verification Results,2026-08-01T19:53:00,CityStart Platform,combined,S6 Housing Rental Subsidy Application Service
P2-005,P2 Housing Rental Subsidy Application and Eligibility Verification,Assess Eligibility,2026-08-01T19:58:00,Housing Security Department,not_eligible,S6 Housing Rental Subsidy Application Service
P2-005,P2 Housing Rental Subsidy Application and Eligibility Verification,Reject Application,2026-08-01T20:08:00,Housing Security Department,rejected_housing_failed,S6 Housing Rental Subsidy Application Service
P2-005,P2 Housing Rental Subsidy Application and Eligibility Verification,Notify Applicant,2026-08-01T20:13:00,CityStart Platform,notified,S6 Housing Rental Subsidy Application Service
P2-006,P2 Housing Rental Subsidy Application and Eligibility Verification,Submit Housing Subsidy Application,2026-08-01T21:00:00,Citizen,submitted,S6 Housing Rental Subsidy Application Service
P2-006,P2 Housing Rental Subsidy Application and Eligibility Verification,Check Submitted Documents,2026-08-01T21:08:00,CityStart Platform,checked,S6 Housing Rental Subsidy Application Service
P2-006,P2 Housing Rental Subsidy Application and Eligibility Verification,Verify Employment Information,2026-08-01T21:18:00,Employment Information Service,verified,S6 Housing Rental Subsidy Application Service
P2-006,P2 Housing Rental Subsidy Application and Eligibility Verification,Verify Housing Information,2026-08-01T21:33:00,Housing Security Department,verified,S6 Housing Rental Subsidy Application Service
P2-006,P2 Housing Rental Subsidy Application and Eligibility Verification,Combine Verification Results,2026-08-01T21:53:00,CityStart Platform,combined,S6 Housing Rental Subsidy Application Service
P2-006,P2 Housing Rental Subsidy Application and Eligibility Verification,Assess Eligibility,2026-08-01T21:58:00,Housing Security Department,not_eligible,S6 Housing Rental Subsidy Application Service
P2-006,P2 Housing Rental Subsidy Application and Eligibility Verification,Reject Application,2026-08-01T22:08:00,Housing Security Department,rejected_not_eligible,S6 Housing Rental Subsidy Application Service
P2-006,P2 Housing Rental Subsidy Application and Eligibility Verification,Notify Applicant,2026-08-01T22:13:00,CityStart Platform,notified,S6 Housing Rental Subsidy Application Service
P2-007,P2 Housing Rental Subsidy Application and Eligibility Verification,Submit Housing Subsidy Application,2026-08-01T23:00:00,Citizen,submitted,S6 Housing Rental Subsidy Application Service
P2-007,P2 Housing Rental Subsidy Application and Eligibility Verification,Check Submitted Documents,2026-08-01T23:08:00,CityStart Platform,checked,S6 Housing Rental Subsidy Application Service
P2-007,P2 Housing Rental Subsidy Application and Eligibility Verification,Verify Employment Information,2026-08-01T23:18:00,Employment Information Service,verified,S6 Housing Rental Subsidy Application Service
P2-007,P2 Housing Rental Subsidy Application and Eligibility Verification,Verify Housing Information,2026-08-01T23:33:00,Housing Security Department,verified,S6 Housing Rental Subsidy Application Service
P2-007,P2 Housing Rental Subsidy Application and Eligibility Verification,Combine Verification Results,2026-08-01T23:53:00,CityStart Platform,combined,S6 Housing Rental Subsidy Application Service
P2-007,P2 Housing Rental Subsidy Application and Eligibility Verification,Assess Eligibility,2026-08-01T23:58:00,Housing Security Department,eligible,S6 Housing Rental Subsidy Application Service
P2-007,P2 Housing Rental Subsidy Application and Eligibility Verification,Review Application,2026-08-02T00:08:00,Housing Security Department,delayed_review,S6 Housing Rental Subsidy Application Service
P2-007,P2 Housing Rental Subsidy Application and Eligibility Verification,Approve Application,2026-08-03T00:08:00,Housing Security Department,approved,S6 Housing Rental Subsidy Application Service
P2-007,P2 Housing Rental Subsidy Application and Eligibility Verification,Notify Applicant,2026-08-03T00:13:00,CityStart Platform,notified,S6 Housing Rental Subsidy Application Service
P2-008,P2 Housing Rental Subsidy Application and Eligibility Verification,Submit Housing Subsidy Application,2026-08-02T01:00:00,Citizen,submitted,S6 Housing Rental Subsidy Application Service
P2-008,P2 Housing Rental Subsidy Application and Eligibility Verification,Check Submitted Documents,2026-08-02T01:08:00,CityStart Platform,checked,S6 Housing Rental Subsidy Application Service
P2-008,P2 Housing Rental Subsidy Application and Eligibility Verification,Verify Housing Information,2026-08-02T01:18:00,Housing Security Department,verified,S6 Housing Rental Subsidy Application Service
P2-008,P2 Housing Rental Subsidy Application and Eligibility Verification,Verify Employment Information,2026-08-02T01:33:00,Employment Information Service,verified,S6 Housing Rental Subsidy Application Service
P2-008,P2 Housing Rental Subsidy Application and Eligibility Verification,Combine Verification Results,2026-08-02T01:53:00,CityStart Platform,combined,S6 Housing Rental Subsidy Application Service
P2-008,P2 Housing Rental Subsidy Application and Eligibility Verification,Assess Eligibility,2026-08-02T01:58:00,Housing Security Department,eligible,S6 Housing Rental Subsidy Application Service
P2-008,P2 Housing Rental Subsidy Application and Eligibility Verification,Review Application,2026-08-02T02:08:00,Housing Security Department,reviewed,S6 Housing Rental Subsidy Application Service
P2-008,P2 Housing Rental Subsidy Application and Eligibility Verification,Approve Application,2026-08-02T02:38:00,Housing Security Department,approved,S6 Housing Rental Subsidy Application Service
P2-008,P2 Housing Rental Subsidy Application and Eligibility Verification,Notify Applicant,2026-08-02T02:43:00,CityStart Platform,notified,S6 Housing Rental Subsidy Application Service
P2-009,P2 Housing Rental Subsidy Application and Eligibility Verification,Submit Housing Subsidy Application,2026-08-02T03:00:00,Citizen,submitted,S6 Housing Rental Subsidy Application Service
P2-009,P2 Housing Rental Subsidy Application and Eligibility Verification,Check Submitted Documents,2026-08-02T03:08:00,CityStart Platform,checked,S6 Housing Rental Subsidy Application Service
P2-009,P2 Housing Rental Subsidy Application and Eligibility Verification,Request Additional Documents,2026-08-02T03:18:00,CityStart Platform,requested,S6 Housing Rental Subsidy Application Service
P2-009,P2 Housing Rental Subsidy Application and Eligibility Verification,Submit Additional Documents,2026-08-02T04:18:00,Citizen,submitted,S6 Housing Rental Subsidy Application Service
P2-009,P2 Housing Rental Subsidy Application and Eligibility Verification,Check Submitted Documents,2026-08-02T05:48:00,CityStart Platform,checked,S6 Housing Rental Subsidy Application Service
P2-009,P2 Housing Rental Subsidy Application and Eligibility Verification,Reject Application,2026-08-02T05:58:00,Housing Security Department,rejected_documents_incomplete,S6 Housing Rental Subsidy Application Service
P2-009,P2 Housing Rental Subsidy Application and Eligibility Verification,Notify Applicant,2026-08-02T06:03:00,CityStart Platform,notified,S6 Housing Rental Subsidy Application Service
